Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2025-03-17,SWA,1206,ABQ,LAS,Main,A8,1,C16,false,,2025-03-17T10:00,2025-03-17T10:02,,,,,2025-03-17T10:40,2025-03-17T10:35,Boeing 737-800,,4Q8CMK,,,,,,e8658fea-c855-4e2a-88b7-7fec419bb2c2,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,13ec7b81-ab66-4c6c-b632-92f18740c05b,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-03-17,SWA,3198,LAS,DTW,1,C22,,D21,false,,2025-03-17T13:50,2025-03-17T14:46,,,,,2025-03-17T20:45,2025-03-17T21:29,Boeing 737 MAX 8,,4Q8CMK,,,,,,2aea36df-31fb-4b90-897e-7dcef8820b85,be4c4286-2c02-4dca-86d4-56e19aa348f7,13ec7b81-ab66-4c6c-b632-92f18740c05b,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-03-21,SWA,2939,DTW,MDW,N,D20,Main,B17,false,,2025-03-21T06:45,2025-03-21T06:46,,,,,2025-03-21T07:00,2025-03-21T06:46,Boeing 737-800,,4Q8CMK,,,,,,95f4a52b-038d-4e24-9250-07fc2f1ac858,be4c4286-2c02-4dca-86d4-56e19aa348f7,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,b1bccd34-3f11-416a-998f-65cc527ca2a0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-03-21,SWA,1717,MDW,ABQ,Main,B5,Main,A11,false,,2025-03-21T09:15,2025-03-21T09:13,,,,,2025-03-21T11:25,2025-03-21T11:15,Boeing 737-700,,4Q8CMK,,,,,,c7d6f84c-ce3c-4e3c-b244-db531dc32701,be4c4286-2c02-4dca-86d4-56e19aa348f7,b1bccd34-3f11-416a-998f-65cc527ca2a0,7b925806-8601-400f-bd02-c38802c531b8,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2025-05-10,AAL,4977,ABQ,PHX,Main,B4,4,B5,false,,2025-05-10T12:15,2025-05-10T12:01,,,,,2025-05-10T12:41,2025-05-10T12:21,Embraer 175,,DWMINB,17D,,,,,34b57b2f-b917-4128-afa6-1c77ed5455b4,ae1fc6a5-c42d-4e70-ba63-d641d248d270,7b925806-8601-400f-bd02-c38802c531b8,a2f06eec-440b-48dd-9096-f9051e8a07ef,,36728d5b-40cd-46ec-93ba-8822376b565d
2025-05-15,AAL,6441,PHX,SAF,4,B10,,2,false,,2025-05-15T12:19,2025-05-15T12:13,,,,,2025-05-15T14:48,2025-05-15T14:28,Embraer 175,,,,,,,,d0e02506-bfb2-4d23-ad3c-0ca450796383,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a2f06eec-440b-48dd-9096-f9051e8a07ef,b7903add-3b14-4231-8ac5-820198b890d4,,36728d5b-40cd-46ec-93ba-8822376b565d
2025-07-07,SWA,2588,ABQ,DEN,Main,A12,Main,C66,false,,2025-07-07T07:45,2025-07-07T07:54,,,,,2025-07-07T09:10,2025-07-07T09:11,Boeing 737-800,,CPE9IC,,,,,,03375c5b-1153-4bbb-8ddd-81d445de65af,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-07-07,SWA,2145,DEN,DTW,Main,C42,N,D21,false,,2025-07-07T12:45,2025-07-07T12:44,,,,,2025-07-07T17:30,2025-07-07T17:16,Boeing 737-800,,CPE9IC,,,,,,ef1545aa-d1a3-4fdb-9213-f9f2946d1c64,be4c4286-2c02-4dca-86d4-56e19aa348f7,d00b5728-0678-4689-b660-fe9e583203dc,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-07-11,DAL,3229,DTW,SLC,M,A68,,A31,false,,2025-07-11T07:00,2025-07-11T06:59,,,,,2025-07-11T08:55,2025-07-11T08:51,Airbus A321,,F6V2XI,27F,,,,,77311448-c6fd-4c62-9dae-a1a4a1a58c87,a8765091-d043-44b1-936c-d217bb519e56,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,a9fd3eb2-255a-4372-9c86-ff4f7ee1d2c1,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2025-07-11,DAL,4084,SLC,ABQ,,A42,Main,B8,false,,2025-07-11T09:25,2025-07-11T09:18,,,,,2025-07-11T11:06,2025-07-11T10:48,Embraer 175,,F6V2XI,10C,AISLE,ECONOMY,BUSINESS,,8f028a71-29eb-4567-ad2f-14771daaefb3,a8765091-d043-44b1-936c-d217bb519e56,a9fd3eb2-255a-4372-9c86-ff4f7ee1d2c1,7b925806-8601-400f-bd02-c38802c531b8,,36728d5b-40cd-46ec-93ba-8822376b565d
